# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.004356 0.001485 0.001034 0.001016 0.000579 0.008470
0.004513 0.001441 0.000776 0.000958 0.000561 0.008248
0.004735 0.001403 0.000580 0.000898 0.000543 0.008159
0.004196 0.001396 0.000948 0.000934 0.000529 0.008003
0.004324 0.001359 0.000729 0.000885 0.000520 0.007818
0.004497 0.001325 0.000561 0.000839 0.000514 0.007736
0.004061 0.001321 0.000836 0.000869 0.000506 0.007593
0.004098 0.001293 0.000722 0.000841 0.000499 0.007452
0.004286 0.001259 0.000540 0.000800 0.000493 0.007378
0.003946 0.001251 0.000738 0.000822 0.000487 0.007244
0.003902 0.001228 0.000722 0.000811 0.000480 0.007142
0.004097 0.001189 0.000530 0.000775 0.000474 0.007066
0.003850 0.001173 0.000663 0.000789 0.000469 0.006944
0.003749 0.001152 0.000712 0.000788 0.000465 0.006866
0.003931 0.001114 0.000523 0.000755 0.000461 0.006784
0.003766 0.001096 0.000601 0.000761 0.000456 0.006680
0.003638 0.001079 0.000681 0.000764 0.000451 0.006614
0.003796 0.001047 0.000509 0.000733 0.000445 0.006531
0.003688 0.001034 0.000550 0.000730 0.000440 0.006442
0.003545 0.001027 0.000642 0.000732 0.000435 0.006379
0.003669 0.001004 0.000495 0.000701 0.000430 0.006299
0.003596 0.000995 0.000513 0.000693 0.000426 0.006222
0.003450 0.000992 0.000603 0.000694 0.000423 0.006162
0.003547 0.000972 0.000479 0.000670 0.000420 0.006087
0.003495 0.000961 0.000483 0.000663 0.000417 0.006018
0.003361 0.000956 0.000563 0.000666 0.000413 0.005959
0.003442 0.000936 0.000457 0.000645 0.000410 0.005889
0.003399 0.000924 0.000457 0.000639 0.000407 0.005825
0.003283 0.000917 0.000524 0.000640 0.000404 0.005769
0.003354 0.000897 0.000431 0.000620 0.000402 0.005705
0.003306 0.000886 0.000437 0.000614 0.000401 0.005643
0.003209 0.000879 0.000489 0.000612 0.000401 0.005589
0.003272 0.000860 0.000405 0.000595 0.000399 0.005530
0.003210 0.000851 0.000422 0.000590 0.000399 0.005472
0.003136 0.000843 0.000455 0.000588 0.000398 0.005420
0.003189 0.000825 0.000381 0.000573 0.000397 0.005366
0.003111 0.000817 0.000413 0.000572 0.000397 0.005311
0.003066 0.000807 0.000421 0.000568 0.000398 0.005259
0.003103 0.000791 0.000362 0.000555 0.000398 0.005209
0.003013 0.000784 0.000406 0.000555 0.000399 0.005157
0.003003 0.000772 0.000385 0.000546 0.000400 0.005106
0.003010 0.000759 0.000352 0.000536 0.000400 0.005057
0.002924 0.000754 0.000395 0.000534 0.000401 0.005008
0.002942 0.000741 0.000350 0.000523 0.000402 0.004958
0.002909 0.000732 0.000350 0.000517 0.000403 0.004910
0.002849 0.000725 0.000372 0.000514 0.000404 0.004863
0.002872 0.000712 0.000324 0.000503 0.000405 0.004816
0.002802 0.000706 0.000352 0.000501 0.000406 0.004769
0.002787 0.000697 0.000337 0.000494 0.000407 0.004722
0.002779 0.000687 0.000316 0.000487 0.000408 0.004677
0.002712 0.000682 0.000344 0.000485 0.000409 0.004632
0.002727 0.000670 0.000304 0.000476 0.000410 0.004587
0.002672 0.000664 0.000322 0.000474 0.000411 0.004542
0.002651 0.000656 0.000312 0.000468 0.000411 0.004498
0.002641 0.000647 0.000295 0.000461 0.000412 0.004455
0.002584 0.000642 0.000316 0.000458 0.000413 0.004413
0.002595 0.000631 0.000282 0.000449 0.000413 0.004370
0.002535 0.000627 0.000305 0.000447 0.000414 0.004328
0.002534 0.000617 0.000281 0.000439 0.000414 0.004286
0.002498 0.000611 0.000286 0.000435 0.000415 0.004244
0.002471 0.000603 0.000284 0.000430 0.000415 0.004203
0.002461 0.000594 0.000269 0.000424 0.000415 0.004163
0.002413 0.000589 0.000284 0.000421 0.000416 0.004123
0.002421 0.000578 0.000255 0.000413 0.000416 0.004083
0.002360 0.000574 0.000284 0.000411 0.000416 0.004044
0.002382 0.000563 0.000243 0.000402 0.000415 0.004006
0.002306 0.000560 0.000285 0.000401 0.000415 0.003968
0.002350 0.000547 0.000228 0.000391 0.000415 0.003931
0.002243 0.000547 0.000297 0.000393 0.000415 0.003895
0.002334 0.000531 0.000204 0.000379 0.000414 0.003862
0.002163 0.000536 0.000334 0.000386 0.000415 0.003834
0.002344 0.000513 0.000176 0.000366 0.000414 0.003813
0.002073 0.000528 0.000399 0.000380 0.000415 0.003794
0.002337 0.000498 0.000163 0.000355 0.000413 0.003764
0.002056 0.000511 0.000358 0.000368 0.000414 0.003706
0.002188 0.000489 0.000201 0.000351 0.000413 0.003642
0.002161 0.000482 0.000204 0.000347 0.000412 0.003606
0.002017 0.000486 0.000325 0.000353 0.000413 0.003594
0.002199 0.000463 0.000162 0.000335 0.000411 0.003570
0.001995 0.000470 0.000300 0.000342 0.000411 0.003519
0.002061 0.000455 0.000212 0.000332 0.000410 0.003470
0.002081 0.000446 0.000184 0.000325 0.000410 0.003445
0.001931 0.000451 0.000305 0.000330 0.000410 0.003427
0.002072 0.000431 0.000165 0.000315 0.000408 0.003392
0.001941 0.000433 0.000246 0.000318 0.000409 0.003346
0.001940 0.000425 0.000227 0.000313 0.000408 0.003312
0.001999 0.000413 0.000169 0.000305 0.000406 0.003291
0.001856 0.000417 0.000277 0.000309 0.000407 0.003265
0.001955 0.000401 0.000169 0.000297 0.000405 0.003227
0.001877 0.000399 0.000212 0.000296 0.000405 0.003190
0.001843 0.000395 0.000227 0.000294 0.000404 0.003162
0.001906 0.000383 0.000162 0.000285 0.000403 0.003139
0.001785 0.000386 0.000250 0.000288 0.000402 0.003111
0.001857 0.000372 0.000167 0.000279 0.000401 0.003076
0.001797 0.000370 0.000199 0.000277 0.000400 0.003043
0.001767 0.000366 0.000209 0.000274 0.000399 0.003016
0.001812 0.000356 0.000159 0.000267 0.000398 0.002992
0.001712 0.000357 0.000231 0.000268 0.000398 0.002965
0.001778 0.000345 0.000157 0.000260 0.000396 0.002935
0.001703 0.000345 0.000202 0.000259 0.000395 0.002904
0.001710 0.000338 0.000180 0.000254 0.000394 0.002875
0.001710 0.000331 0.000165 0.000250 0.000393 0.002849
0.001648 0.000330 0.000205 0.000249 0.000392 0.002825
0.001699 0.000320 0.000148 0.000242 0.000391 0.002800
0.001610 0.000322 0.000209 0.000242 0.000390 0.002774
0.001665 0.000311 0.000147 0.000235 0.000388 0.002746
0.001592 0.000311 0.000193 0.000234 0.000388 0.002718
0.001618 0.000303 0.000155 0.000229 0.000386 0.002691
0.001581 0.000300 0.000172 0.000227 0.000385 0.002665
0.001570 0.000296 0.000166 0.000223 0.000384 0.002639
0.001568 0.000291 0.000154 0.000219 0.000383 0.002615
0.001527 0.000289 0.000176 0.000217 0.000382 0.002591
0.001553 0.000281 0.000140 0.000212 0.000380 0.002567
0.001483 0.000282 0.000189 0.000212 0.000380 0.002545
0.001544 0.000272 0.000126 0.000205 0.000378 0.002524
0.001432 0.000276 0.000214 0.000207 0.000377 0.002507
0.001549 0.000263 0.000109 0.000198 0.000375 0.002494
0.001372 0.000273 0.000264 0.000203 0.000375 0.002487
0.001561 0.000255 0.000101 0.000192 0.000372 0.002480
0.001331 0.000268 0.000289 0.000198 0.000373 0.002459
0.001508 0.000248 0.000102 0.000186 0.000369 0.002413
0.001372 0.000252 0.000181 0.000188 0.000370 0.002362
0.001376 0.000246 0.000162 0.000185 0.000368 0.002336
0.001446 0.000238 0.000104 0.000179 0.000366 0.002333
0.001293 0.000246 0.000238 0.000183 0.000366 0.002326
0.001428 0.000231 0.000100 0.000174 0.000362 0.002296
0.001312 0.000234 0.000171 0.000175 0.000363 0.002255
0.001320 0.000229 0.000149 0.000172 0.000361 0.002230
0.001368 0.000222 0.000104 0.000168 0.000359 0.002222
0.001248 0.000228 0.000206 0.000170 0.000359 0.002211
0.001350 0.000216 0.000100 0.000163 0.000356 0.002185
0.001260 0.000218 0.000155 0.000163 0.000357 0.002153
0.001262 0.000214 0.000141 0.000160 0.000353 0.002131
0.001298 0.000208 0.000104 0.000156 0.000352 0.002119
0.001202 0.000212 0.000182 0.000157 0.000352 0.002106
0.001282 0.000203 0.000099 0.000152 0.000349 0.002084
0.001202 0.000205 0.000150 0.000152 0.000350 0.002058
0.001216 0.000200 0.000126 0.000149 0.000346 0.002036
0.001225 0.000196 0.000107 0.000146 0.000346 0.002020
0.001159 0.000198 0.000160 0.000146 0.000344 0.002007
0.001221 0.000191 0.000096 0.000142 0.000342 0.001991
0.001140 0.000193 0.000152 0.000142 0.000342 0.001970
0.001179 0.000187 0.000106 0.000138 0.000338 0.001949
0.001146 0.000187 0.000120 0.000136 0.000340 0.001929
0.001129 0.000185 0.000129 0.000135 0.000336 0.001913
0.001150 0.000181 0.000099 0.000132 0.000336 0.001898
0.001092 0.000182 0.000144 0.000132 0.000333 0.001883
0.001138 0.000176 0.000093 0.000128 0.000332 0.001867
0.001071 0.000179 0.000141 0.000128 0.000331 0.001849
0.001112 0.000173 0.000095 0.000124 0.000328 0.001832
0.001060 0.000174 0.000127 0.000123 0.000330 0.001815
0.001082 0.000170 0.000102 0.000121 0.000325 0.001798
0.001050 0.000170 0.000115 0.000119 0.000328 0.001783
0.001054 0.000167 0.000108 0.000117 0.000322 0.001768
0.001037 0.000167 0.000108 0.000116 0.000326 0.001753
0.001031 0.000163 0.000111 0.000114 0.000319 0.001739
0.001020 0.000163 0.000105 0.000112 0.000324 0.001725
0.001012 0.000160 0.000111 0.000111 0.000316 0.001710
0.001001 0.000160 0.000104 0.000109 0.000322 0.001696
0.000995 0.000157 0.000108 0.000108 0.000313 0.001681
0.000979 0.000158 0.000105 0.000106 0.000318 0.001666
0.000982 0.000154 0.000100 0.000104 0.000310 0.001651
0.000953 0.000156 0.000111 0.000103 0.000315 0.001637
0.000978 0.000151 0.000087 0.000101 0.000307 0.001624
0.000915 0.000155 0.000136 0.000101 0.000311 0.001617
0.001001 0.000148 0.000073 0.000097 0.000303 0.001623
0.000848 0.000161 0.000243 0.000101 0.000309 0.001662
0.001079 0.000153 0.000118 0.000096 0.000300 0.001747
0.000792 0.000177 0.000401 0.000102 0.000310 0.001782
0.001009 0.000153 0.000083 0.000092 0.000298 0.001636
0.000916 0.000142 0.000083 0.000090 0.000304 0.001535
0.000810 0.000158 0.000270 0.000095 0.000296 0.001628
0.000991 0.000155 0.000087 0.000089 0.000295 0.001617
0.000865 0.000140 0.000109 0.000088 0.000292 0.001493
0.000812 0.000150 0.000192 0.000090 0.000293 0.001536
0.000958 0.000148 0.000076 0.000085 0.000288 0.001556
0.000838 0.000137 0.000114 0.000085 0.000288 0.001462
0.000801 0.000143 0.000165 0.000086 0.000290 0.001485
0.000927 0.000141 0.000070 0.000082 0.000283 0.001503
0.000821 0.000135 0.000107 0.000082 0.000287 0.001432
0.000790 0.000137 0.000156 0.000083 0.000282 0.001448
0.000887 0.000136 0.000071 0.000080 0.000284 0.001458
0.000811 0.000129 0.000103 0.000079 0.000279 0.001402
0.000773 0.000137 0.000141 0.000079 0.000285 0.001416
0.000862 0.000134 0.000067 0.000077 0.000277 0.001418
0.000790 0.000128 0.000097 0.000077 0.000283 0.001375
0.000765 0.000129 0.000137 0.000077 0.000275 0.001384
0.000828 0.000129 0.000072 0.000075 0.000279 0.001382
0.000780 0.000124 0.000097 0.000074 0.000272 0.001348
0.000747 0.000129 0.000122 0.000074 0.000279 0.001351
0.000812 0.000126 0.000067 0.000072 0.000269 0.001346
0.000754 0.000123 0.000094 0.000072 0.000274 0.001316
0.000740 0.000122 0.000114 0.000071 0.000266 0.001314
0.000784 0.000122 0.000066 0.000070 0.000268 0.001309
0.000741 0.000120 0.000091 0.000069 0.000262 0.001283
0.000724 0.000121 0.000100 0.000069 0.000264 0.001277
0.000767 0.000119 0.000061 0.000067 0.000259 0.001274
0.000719 0.000119 0.000089 0.000067 0.000260 0.001254
0.000716 0.000117 0.000088 0.000066 0.000257 0.001244
0.000744 0.000117 0.000061 0.000065 0.000256 0.001243
0.000702 0.000117 0.000091 0.000065 0.000254 0.001228
0.000706 0.000115 0.000077 0.000064 0.000253 0.001216
0.000723 0.000115 0.000061 0.000063 0.000251 0.001213
